AVGDPD0_EVER;CNTGOODPOS;CNTUNIQUEPHONES;FIRSTADATENOTRD;CNTUNSUCCESSFULWEEKS24M;INSTALMENTCNTPAIDINTIME;AVGDPD0_36M;NUMINSTTOPAYGR;TEXTLASTRISKPRODCOMBINATION;PARTEPCOUNT;AVGDPD0_12M;CODEPAIDOFFAFTERDPD;NUMREJECTS9M;LASTFULLEPDATE
;4;1;3906;0;46;1.09090909090909;0;0.023198651;2;;0;0;778
1.17964071856287;2;1;4754;1;126;0.0222222222222222;0;0.023198651;5;0;0;0;5
0.0952380952380952;1;1;2040;0;62;0.105263157894737;39;0.023198651;;0;0;0;
0.71875;1;1;2823;2;41;1.20512820512821;49;0.023198651;;2.61538461538462;0;1;318
0.184873949579832;0;1;2988;0;36;0.194444444444444;0;0.020120724;;0;0;0;1353
;0;0;3576;0;6;;0;0.026860354;;;0;0;3074
;1;1;5709;0;37;0;0;0.020120724;1;;0;0;636
;1;0;537;2;28;0;20;0.031356486;2;0;0;4;
0;0;0;832;0;18;0;0;0.023198651;;0;0;0;
5.11764705882353;1;1;5473;0;25;0;0;0.023198651;;0;0;0;3018
0;3;1;761;2;41;0;10;0.023198651;;0;0;2;
1.66666666666667;0;1;3070;1;132;0;39;0.023198651;4;0;0;0;246
;1;1;5642;0;86;0;11;0.023198651;;0;0;0;1025
0.0746268656716418;1;1;757;4;66;0.0746268656716418;20;0.023198651;;0;0;2;
;0;1;825;3;27;0.0714285714285714;0;0.026860354;;0;0;0;
;0;1;2660;0;23;;0;0.023198651;;;0;0;
0.7;1;1;3467;9;74;0.0277777777777778;41;0.020120724;11;0;0;6;731
;3;1;5601;2;52;0.0625;8;0.023198651;;0.0833333333333333;0;2;3684
;0;0;150;4;4;0;8;0.023198651;;0;0;5;
1.04464285714286;1;1;3162;4;24;2.22222222222222;0;0.023198651;;5.33333333333333;0;1;
0.297297297297297;1;2;1328;4;26;0.387096774193548;33;0.023198651;;0.476190476190476;0;2;
0;4;1;5862;1;29;0;53;0.023198651;;0;0;1;1917
0.0384615384615385;10;2;3159;1;51;0.0606060606060606;18;0.023198651;;0.111111111111111;0;5;679
;3;1;241;0;7;0.125;9;0.023198651;5;0.125;0;0;53
;1;1;2429;0;53;0;0;0.023198651;;0;0;0;1293
0.5;0;0;852;5;41;0.0238095238095238;17;0.031356486;1;0.0588235294117647;0;8;179
;0;1;5090;0;66;;0;0.026860354;;;0;0;4312
1.5;0;1;5622;0;91;0.0833333333333333;70;0.020120724;;0.25;0;0;446
0.470588235294118;11;0;5384;48;149;0.150537634408602;45;0.031356486;1;0.333333333333333;0;43;1659
;;;3896;0;1;;0;0.031356486;;;;0;
;;;2545;2;13;2.33333333333333;0;0.023198651;;;;0;
;0;1;199;0;6;0;5;0.026860354;;0;0;0;
;0;1;1148;0;10;0;0;0.023198651;;;0;0;
;0;0;1527;1;7;;0;0.023198651;;;0;1;1299
;3;0;2589;0;37;;0;0.026860354;;;0;0;1964
;3;1;5690;0;42;0.0344827586206897;0;0.020120724;5;;0;0;378
;2;0;4545;2;34;0;0;0.023198651;;0;0;2;
16;0;1;4515;0;23;0.388888888888889;42;0.020120724;;0;1;0;
;0;1;544;4;17;0;0;0.023198651;1;0;0;2;252
;1;1;1943;3;40;0.612903225806452;0;0.023198651;1;0;0;0;341
;3;0;3153;0;6;;0;0.026860354;;;0;0;2520
;0;1;2869;1;15;0;9;0.023198651;;0;0;0;
;1;1;1410;1;44;0;0;0.031356486;;;0;0;584
;0;1;93;2;2;0;10;0.023198651;;0;0;1;
;;;130;1;1;0;0;0.031356486;;0;;0;85
5.31666666666667;1;1;5132;2;30;0;0;0.023198651;;0;0;1;245
0;0;1;3128;2;17;0;10;0.023198651;;0;0;2;3028
0;0;0;974;0;20;0;0;0.023198651;;0;0;0;363
0;0;1;4307;3;62;0;3;0.020120724;2;0;0;2;
0.6;0;1;2183;0;9;0.833333333333333;4;0.023198651;;0.833333333333333;0;0;2063
0.5;1;1;4500;0;107;0;13;0.020120724;2;0;0;0;849
;0;0;1712;0;2;;0;0.023198651;1;;0;0;1651
;2;0;4487;0;19;;0;0.023198651;;;0;0;4266
;1;0;4780;0;9;;0;0.026860354;;;0;0;4475
1.08888888888889;1;1;3173;1;49;0;48;0.023198651;1;0;0;1;401
0;0;0;;3;0;0;0;0.023198651;;0;0;6;
;3;0;3010;0;9;;0;0.026860354;;;0;0;
0;1;1;1405;0;6;0;20;0.023198651;;0;0;0;1339
;1;0;2971;0;10;;0;0.026860354;;;0;0;1815
;;;3192;0;4;;0;0.023198651;;;;0;3071
;1;1;2834;2;36;0;1;0.023198651;;0;0;0;
;1;1;5320;0;30;0;0;0.031356486;;;0;0;2621
;1;1;1671;0;41;0.0625;0;0.020120724;1;;0;0;495
;2;1;1356;0;36;0.0526315789473684;17;0.026860354;5;0.111111111111111;0;0;705
0.11875;1;1;3295;0;91;0.2;38;0.020120724;1;0.458333333333333;0;0;620
;0;1;511;1;10;0.454545454545455;0;0.023198651;;0.714285714285714;0;1;169
