AVGDPD0_EVER;CNTGOODPOS;CNTUNIQUEPHONES;FIRSTADATENOTRD;CNTUNSUCCESSFULWEEKS24M;INSTALMENTCNTPAIDINTIME;AVGDPD0_36M;NUMINSTTOPAYGR;TEXTLASTRISKPRODCOMBINATION;PARTEPCOUNT;AVGDPD0_12M;CODEPAIDOFFAFTERDPD;NUMREJECTS9M;LASTFULLEPDATE
;0;1;3341;0;23;0;0;0.023198651;;;0;0;
0.5;0;2;3581;1;108;0.066666667;84;0.023198651;15;0.111111111;0;0;
;0;1;;0;0;;0;0.023198651;;;0;0;
;2;0;5340;4;35;;0;0.026860354;;;0;2;
;1;0;3890;0;30;0;0;0.023198651;;;0;0;
0;0;1;4551;0;81;0;0;0.023198651;;0;0;0;
;0;0;1757;0;13;;0;0.023198651;;;0;0;
0;0;1;666;0;28;0;33;0.023198651;2;0;0;0;
;0;0;3296;0;28;;0;0.026860354;;;0;0;
;0;1;2311;0;6;3.454545455;0;0.023198651;;;0;0;
0;0;1;2242;0;22;0;6;0.023198651;;0;0;0;
;1;1;393;0;3;0;0;0.023198651;1;0;0;0;
;2;0;3578;1;103;0.773584906;0;0.023198651;1;1.166666667;0;0;
3.4;3;1;5137;2;84;0.157894737;34;0.020120724;;0.083333333;0;1;
1.090909091;0;1;3359;0;55;0.142857143;16;0.023198651;;0;0;3;
;;;1807;0;12;;0;0.026860354;;;;0;
;0;1;2344;4;28;0;0;0.020120724;3;;0;4;
0;1;1;3222;0;50;0;41;0.023198651;;0;0;0;
;0;1;5348;1;53;;0;0.023198651;;;0;0;
0;0;1;953;0;1;0;0;0.023198651;;0;0;0;
0;0;1;4414;0;20;0;6;0.023198651;;0;0;0;
0;0;1;529;0;20;0;26;0.023198651;;0;0;0;
0;1;1;731;0;22;0;14;0.023198651;4;0;0;0;
;;;5362;0;5;;0;0.023198651;;;;0;
0.181818182;1;1;5967;1;38;0.222222222;24;0.023198651;;0.19047619;0;1;
;2;1;4339;1;31;0.103448276;0;0.023198651;;0;0;1;
0.442748092;0;0;2417;6;53;0.1875;0;0.023198651;10;0;0;0;
0.579710145;3;1;5115;0;57;0;30;0.023198651;;0;0;0;
;0;1;316;1;8;0;0;0.023198651;2;0;0;0;
;0;1;3128;1;10;;0;0.026860354;;;0;0;
;1;1;539;0;13;0;0;0.023198651;11;0;0;0;
;1;1;1732;1;36;0;0;0.023198651;11;0;0;0;
0;0;1;797;5;32;0;15;0.023198651;;0;0;5;
1.265957447;0;0;3964;0;74;0.057142857;68;0.023198651;;0;0;0;
7.272727273;2;1;4404;1;139;0.763157895;21;0.020120724;6;0.75;0;1;
0;1;1;1983;2;69;0;16;0.023198651;7;0;0;0;
;;;2700;1;27;;0;0.023198651;;;;0;
0;4;1;972;2;40;0;0;0.031356486;;0;0;0;
0;0;0;823;0;4;0;57;0.023198651;;0;0;0;
0;0;0;1327;1;36;0;0;0.023198651;;0;0;1;
;;;4266;0;19;;0;0.026860354;;;;0;
;0;0;2488;0;11;;0;0.026860354;;;0;0;
;0;0;5277;0;30;;0;0.023198651;;;0;0;
2.666666667;0;1;5028;5;108;0.018181818;76;0.020120724;1;0.041666667;0;2;
4.7;1;1;4765;0;56;2.310344828;7;0.020120724;;3.666666667;0;0;
0.068322981;1;1;5759;1;91;0.026315789;46;0.023198651;4;0.038461538;0;8;
2.5;0;1;3779;0;43;0;0;0.023198651;;0;0;2;
1.764705882;0;1;289;1;6;1.823529412;17;0.023198651;;1.823529412;0;1;
0;0;1;2589;0;36;0;5;0.023198651;4;0;0;0;
3.421686747;0;1;3924;0;57;5.127659574;43;0.023198651;1;6.791666667;0;0;
0;0;1;265;0;8;0;7;0.023198651;;0;0;0;
;3;0;1805;0;6;;0;0.026860354;;;0;0;
0;2;1;870;2;7;0;116;0.023198651;2;0;0;1;
;;;555;1;11;1.75;0;0.031356486;;2.625;;2;
0.312056738;1;1;2255;7;96;0.367088608;69;0.023198651;1;0.8;0;9;
0.18487395;0;1;2988;0;36;0.194444444;0;0.020120724;;0;0;0;
;0;0;4437;0;4;;0;0.026860354;;;0;0;
;0;1;2677;0;54;0;0;0.020120724;;;0;0;
0.5;0;1;1866;0;13;0;8;0.031356486;;0;0;0;
;0;0;3576;0;6;;0;0.026860354;;;0;0;
;1;1;476;1;27;0;45;0.023198651;;0;0;2;
9.606060606;0;1;2252;1;5;2.611111111;0;0.023198651;;2.583333333;3;0;
0;0;1;1238;3;43;0;88;0.023198651;2;0;0;2;
0;0;2;1483;0;30;0;0;0.023198651;;0;0;0;
;1;1;5642;0;86;0;11;0.023198651;;0;0;0;
;0;0;720;0;2;26.9;0;0.023198651;;;2;0;
0.5;1;1;3533;2;64;0.03030303;27;0.020120724;2;0.083333333;0;0;
0;0;1;3053;0;14;0;0;0.023198651;;0;0;0;
;;;2292;0;1;;0;0.031356486;;;;0;
;1;1;5838;0;50;0.235294118;0;0.020120724;3;0;0;0;
;3;1;241;0;7;0.125;9;0.023198651;5;0.125;0;0;
;;;4867;0;6;;0;0.031356486;;;;0;
;0;1;1124;0;19;0;0;0.023198651;;0;0;0;
0;3;1;2195;1;10;0;12;0.023198651;1;0;0;1;
0.055555556;2;1;4732;1;42;0.125;0;0.023198651;;0.333333333;0;0;
0;0;1;636;0;20;0;30;0.023198651;1;0;0;1;
;0;0;5462;0;3;;0;0.023198651;;;2;0;
;0;0;142;0;4;0;20;0.023198651;;0;0;1;
;0;0;133;0;4;0;6;0.023198651;;0;0;1;
0;0;1;707;1;34;0;24;0.023198651;9;0;0;0;
;2;1;2014;2;17;0;0;0.023198651;4;0;0;0;
;0;1;806;0;9;0;0;0.023198651;;;0;0;
;;;4239;0;12;;0;0.026860354;;;;0;
2.5;1;2;2676;5;77;0.447368421;40;0.020120724;;0.083333333;0;4;
0.470588235;11;0;5384;48;149;0.150537634;45;0.031356486;1;0.333333333;0;43;
;0;0;1804;0;5;;0;0.031356486;2;;0;0;
0;0;1;121;0;6;0;36;0.023198651;1;0;0;0;
0;2;1;5605;0;27;0;26;0.023198651;1;0;0;0;
;0;1;394;4;8;1.6;24;0.023198651;;1.6;0;2;
;3;1;3004;5;44;0;0;0.031356486;1;;0;1;
0.5;0;1;4469;0;61;0;7;0.023198651;;0;0;0;
;0;1;385;0;10;0;0;0.023198651;2;0;0;0;
;;;778;1;11;0;0;0.023198651;;0;;0;
;1;1;3569;0;19;0;0;0.020120724;;0;0;0;
0.5;0;1;788;0;31;0;56;0.023198651;;0;0;0;
2;1;1;1981;0;38;0;17;0.020120724;;0;0;0;
;;;1887;0;24;;0;0.023198651;;;;0;
;0;0;2401;0;2;;0;0.031356486;;;0;0;
;3;1;5690;0;42;0.034482759;0;0.020120724;5;;0;0;
;1;1;3779;2;99;0;0;0.031356486;1;;0;0;
2.5;1;2;2676;5;77;0.447368421;40;0.020120724;;0.083333333;0;4;
;;;4239;0;33;;0;0.023198651;;;;0;
;1;0;5578;0;21;;0;0.023198651;;;0;0;
0;0;2;1019;4;6;0;0;0.023198651;;0;0;4;
0.5;6;0;3574;0;14;0;0;0.023198651;;0;0;3;
;1;1;4633;0;35;0.153846154;0;0.031356486;;0;0;0;
;0;1;540;0;12;0;0;0.023198651;;0;0;0;
0.125;1;1;1888;0;8;0;7;0.023198651;3;0;0;0;
0.875;1;1;2508;2;68;0;103;0.023198651;;0;0;1;
0;0;1;841;0;23;0;0;0.023198651;;0;0;0;
;0;2;4137;0;22;0;9;0.023198651;;0;0;0;
0.25;1;1;1311;0;11;0;0;0.023198651;;0;0;0;
;0;1;3761;1;40;0;0;0.020120724;1;;0;0;
;0;1;3002;0;36;;0;0.026860354;;;0;0;
0;0;1;3048;0;36;0;52;0.023198651;;0;0;0;
;1;1;4766;0;62;0;0;0.023198651;1;;0;0;
0.428571429;1;0;3572;0;2;0;0;0.023198651;;0;0;0;
;2;1;4600;0;74;0;0;0.023198651;3;;0;0;
;0;0;1592;0;10;;0;0.023198651;;;0;0;
0.128712871;4;1;2487;2;90;0;44;0.023198651;1;0;0;1;
;1;0;4780;0;9;;0;0.026860354;;;0;0;
1.088888889;1;1;3173;1;49;0;48;0.023198651;1;0;0;1;
;1;0;4854;0;17;;0;0.031356486;;;0;0;
;;;496;1;12;0;0;0.023198651;;0;;0;
;1;0;2009;0;4;;0;0.023198651;;;0;0;
;0;0;618;0;5;0;1;0.031356486;;0;0;0;
;;;4995;0;19;;0;0.023198651;;;;0;
0;1;1;1449;2;32;0;51;0.023198651;;0;0;0;
0;1;1;1405;0;6;0;20;0.023198651;;0;0;0;
;0;1;;0;0;;0;0.023198651;;;0;0;
0;0;1;917;2;30;0;65;0.023198651;;0;0;0;
;1;1;5320;0;30;0;0;0.031356486;;;0;0;
;1;1;5179;0;84;0.697674419;0;0.023198651;1;0;0;0;
;;;2266;0;10;;0;0.026860354;;;;0;
0;1;1;1008;4;86;0;155;0.023198651;1;0;0;1;
;0;1;392;1;2;0;10;0.031356486;;0;0;1;
;0;1;3508;0;4;;0;0.023198651;;;0;0;
;1;1;3368;0;30;3.25;0;0.026860354;;;0;0;
0;1;1;4004;0;65;0;12;0.023198651;5;0;0;0;
0.125;10;1;5470;3;103;0;8;0.023198651;;0;0;2;
6.333333333;0;1;2263;0;35;0;29;0.023198651;;0;0;0;
;0;1;471;0;7;0;0;0.023198651;;0;0;0;
0;1;1;1610;0;22;0;0;0.023198651;4;0;0;0;
;;;5241;0;16;;0;0.023198651;;;;0;
;0;1;486;0;15;0;9;0.023198651;12;0;0;0;
;0;0;3970;0;9;;0;0.031356486;;;0;0;
;;;5015;0;49;0;0;0.023198651;1;0;;0;
6.68;0;1;3540;4;57;5.216216216;26;0.023198651;;0;0;1;
0;0;0;2123;0;46;0;0;0.023198651;2;0;0;0;
0;1;1;2156;0;60;0;23;0.023198651;13;0;0;0;
;3;0;5195;6;69;0;0;0.023198651;;0;0;4;
;0;1;634;0;10;0;0;0.031356486;3;0;0;0;
;0;1;997;2;39;0;0;0.020120724;;0;0;0;
1;1;1;2823;0;19;0.2;0;0.023198651;;0.2;0;0;
3.852941176;1;1;3044;3;28;0.045454545;2;0.023198651;;0.083333333;1;0;
;;;5619;0;22;0;0;0.026860354;;;;0;
;1;0;4637;0;15;;0;0.026860354;;;0;0;
2.875;2;1;4460;3;47;0.172413793;17;0.020120724;2;0.416666667;0;1;
2.083333333;1;1;3576;0;41;0;0;0.023198651;1;0;0;0;
;2;1;1489;7;22;0;0;0.023198651;;;0;1;
;1;1;5992;0;48;1.75;0;0.031356486;;;0;0;
0;0;1;807;1;27;0;57;0.023198651;1;0;0;1;
0.02;1;1;2493;2;48;0;44;0.020120724;9;0;0;1;
0;3;1;1232;0;22;0;8;0.023198651;1;0;0;1;
;0;1;3916;1;31;1;0;0.023198651;4;0;0;0;
;0;1;2136;1;37;0;0;0.023198651;1;0;0;1;
0.096385542;1;1;3107;8;58;0;18;0.023198651;9;0;0;6;
0.027027027;0;1;2599;3;33;0.045454545;12;0.023198651;;0.066666667;0;1;
3.333333333;1;1;2745;2;28;0.37037037;21;0.020120724;;0.5;0;2;
;;;3920;0;19;;0;0.026860354;;;;0;
;3;1;3507;0;37;0;0;0.023198651;;;0;0;
;;;4108;0;58;0;0;0.023198651;4;0;;0;
;0;1;4329;0;45;0;0;0.023198651;1;0;0;0;
0.019607843;0;1;5250;0;80;0;51;0.023198651;;0;0;0;
0;2;1;2282;0;17;0;0;0.023198651;2;0;0;0;
;1;2;885;1;12;0;0;0.026860354;;;0;0;
;0;0;135;0;1;0;0;0.023198651;;0;0;0;
;2;0;435;0;3;0;0;0.031356486;2;0;0;0;
;0;1;294;0;9;0;15;0.023198651;;0;0;0;
;2;1;1409;1;29;0;0;0.026860354;11;0;0;1;
0.076923077;3;1;5573;0;98;0.034482759;26;0.023198651;;0;0;0;
;0;2;3769;0;35;6.25;0;0.023198651;;;0;0;
0;0;1;623;0;14;0;8;0.023198651;1;0;0;1;
;2;1;4533;3;45;0.083333333;0;0.020120724;;;0;2;
0.026315789;1;1;4539;0;38;0;30;0.023198651;;0;0;0;
0.085714286;0;1;4274;4;57;0.036144578;56;0.023198651;;0;0;3;
1;1;1;2725;2;32;0.148148148;20;0.023198651;2;0.142857143;0;1;
;3;0;5566;0;62;;0;0.023198651;;;0;0;
;;;5549;1;14;;0;0.023198651;;;;2;
;2;1;3473;0;76;0.25;0;0.023198651;4;0;0;0;
9.375;2;1;3247;12;79;0.979166667;15;0.023198651;;0.333333333;0;8;
;;;2637;0;34;;0;0.023198651;;;;0;
;1;1;2668;3;26;0;0;0.023198651;;0;0;1;
;0;0;102;0;3;0;21;0.023198651;;0;0;0;
0.083333333;0;1;5373;0;59;0;41;0.023198651;;0;0;0;
;2;0;5263;0;34;;0;0.023198651;;;0;0;
0.166666667;0;1;745;1;6;0;6;0.023198651;1;0;0;1;
1;1;1;2805;1;114;0.031746032;36;0.020120724;;0;0;1;
;1;1;5385;5;60;0.333333333;0;0.031356486;2;0.142857143;0;5;
;0;0;2554;0;5;;0;0.026860354;;;0;0;
;2;1;1775;1;31;0.466666667;0;0.023198651;;0.375;0;2;
;0;0;3368;0;12;;0;0.023198651;;;0;0;
;0;0;2328;0;11;;0;0.023198651;;;0;0;
0;0;1;889;0;16;0;20;0.023198651;1;0;0;0;
;0;1;;0;0;0;0;0.023198651;;;0;0;
;1;1;5349;0;36;;0;0.023198651;;;0;0;
;0;0;5410;0;10;;0;0.023198651;;;0;0;
0;4;1;5586;0;109;0;7;0.020120724;3;0;0;0;
0;1;1;3536;3;33;0;17;0.023198651;2;0;0;1;
;1;1;779;0;12;1.636363636;0;0.026860354;;0;0;0;
;0;1;485;0;14;0.2;15;0.023198651;;0.25;0;0;
;0;1;3144;0;13;;0;0.023198651;;;0;0;
;;;4295;3;18;;0;0.026860354;;;;1;
0.5;1;1;3601;3;22;0;9;0.023198651;;0;0;1;
1;0;1;3724;2;46;0.076923077;34;0.020120724;1;0.166666667;0;2;
0.043478261;0;1;781;0;22;0.043478261;110;0.023198651;;0.043478261;0;0;
;0;0;32;1;0;;18;0.023198651;;;0;1;
0.181818182;3;0;3024;0;20;0;32;0.023198651;;0;0;0;
;0;1;3426;2;40;1.652173913;0;0.023198651;7;;0;0;
;1;1;1257;0;22;0.095238095;0;0.023198651;;;0;0;
;1;0;1530;4;3;;0;0.031356486;;;0;3;
0.08988764;0;1;4216;2;87;0.051724138;38;0.020120724;;0;0;0;
;1;1;4164;0;43;0;0;0.020120724;;;0;1;
0;0;0;4867;0;15;0;5;0.023198651;;0;0;0;
;2;1;4354;1;42;0;0;0.031356486;1;;0;0;
;0;0;373;0;11;0;1;0.031356486;;0;0;0;
0.06097561;3;1;4742;0;81;0;3;0.023198651;;0;0;0;
;0;1;544;5;11;0;0;0.023198651;;0;0;3;
;0;1;2373;0;13;0;0;0.023198651;2;0;0;0;
;0;1;318;1;12;0;0;0.023198651;;0;0;1;
;0;0;182;0;5;0;5;0.023198651;;0;0;0;
;0;1;380;1;13;0.466666667;21;0.031356486;;0.466666667;0;1;
0;1;1;263;1;8;0;28;0.023198651;;0;0;2;
;1;1;369;0;11;0;13;0.023198651;1;0;0;0;
;;;5395;0;21;;0;0.026860354;;;;0;
0.037267081;0;1;4859;5;156;0;18;0.020120724;;0;0;4;
;0;1;606;0;6;0;0;0.023198651;;;0;0;
0;0;1;255;0;3;0;22;0.023198651;;0;0;0;
;0;1;3348;1;54;0;9;0.031356486;2;0;0;0;
;;;5604;0;68;;0;0.020120724;;;;0;
11.5;1;1;618;0;18;1.210526316;5;0.023198651;;1.916666667;0;0;
;1;0;5271;1;9;;0;0.023198651;;;0;1;
;;;4472;0;62;0;0;0.031356486;2;0;;0;
;1;1;4429;1;20;0;0;0.023198651;;;0;0;
0;1;0;1123;0;9;0;48;0.023198651;1;0;0;0;
0;0;1;1387;1;4;0;0;0.023198651;;0;0;0;
0.179487179;0;1;974;18;36;0.153846154;13;0.023198651;4;0;0;8;
0;2;1;3779;0;40;0;9;0.023198651;25;0;0;0;
;3;1;2384;2;27;1.4;0;0.023198651;3;;0;0;
0.047619048;0;1;2657;4;82;0;38;0.031356486;4;0;0;1;
0.333333333;2;1;4541;0;125;0;41;0.020120724;;0;0;0;
;3;1;5052;1;68;0;0;0.031356486;;0;0;1;
;1;1;3521;0;57;0;0;0.023198651;;0;0;0;
0.266666667;11;0;930;18;25;0.3;9;0.023198651;;0.571428571;0;39;
0.02;0;1;5654;0;50;0;0;0.020120724;;0;0;0;
;0;2;3576;0;66;;0;0.020120724;;;0;0;
3.941176471;1;1;287;3;10;4.058823529;31;0.023198651;;4.058823529;0;3;
;0;1;4047;0;38;0;0;0.023198651;;0;0;1;
;0;0;890;4;4;0;20;0.023198651;1;0;0;5;
2.5;0;1;1684;0;41;0.135135135;40;0.023198651;13;0.384615385;0;0;
0;0;1;67;1;2;0;13;0.023198651;;0;0;2;
3.388888889;1;1;4640;0;98;0.588235294;30;0.020120724;2;2.5;0;0;
0;1;1;2863;0;56;0;21;0.023198651;10;0;0;0;
0;5;1;1961;0;29;0;49;0.023198651;;0;0;0;
;1;1;3035;0;28;0.333333333;0;0.023198651;1;;0;0;
;1;0;4737;0;4;;0;0.031356486;;;0;0;
0;1;1;1800;1;21;0;6;0.031356486;;0;0;1;
;0;1;1630;0;48;0.294117647;0;0.020120724;2;0;0;0;
;4;1;4490;4;133;0;0;0.023198651;;;0;0;
5;0;1;663;1;19;0.909090909;11;0.023198651;;1.666666667;0;0;
0;0;1;316;0;14;0;46;0.023198651;;0;0;0;
1.074074074;1;1;5615;1;17;0;17;0.023198651;;0;0;1;
0.142857143;1;1;5242;0;64;0.219512195;36;0.020120724;1;0;0;0;
2.666666667;2;1;4908;2;78;0;16;0.020120724;1;0;0;1;
;0;1;227;0;7;0;17;0.023198651;5;0;0;0;
0;3;1;5145;0;78;0;48;0.023198651;2;0;0;0;
0;0;1;657;7;11;0;0;0.023198651;5;0;0;1;
0.04;0;1;802;0;25;0;11;0.023198651;4;0;0;0;
1.342105263;1;1;1225;0;23;1.514285714;36;0.023198651;;3.714285714;0;0;
;0;1;523;2;3;0;0;0.023198651;2;0;0;8;
;2;0;2566;2;25;0;0;0.026860354;;;0;0;
0;0;0;1888;0;8;0;12;0.023198651;2;0;0;0;
0.19047619;0;1;1164;7;75;0.204819277;107;0.023198651;2;0.447368421;0;4;
0.023255814;0;1;2690;0;84;0.027027027;26;0.023198651;;0;0;0;
0;0;1;362;4;12;0;23;0.023198651;;0;0;5;
;0;0;977;1;7;0;0;0.023198651;2;;0;0;
0;0;1;1042;0;34;0;2;0.020120724;;0;0;0;
6;0;0;654;3;17;0.666666667;30;0.023198651;6;1.2;0;1;
;1;0;5988;0;7;;0;0.023198651;;;0;0;
3.058823529;0;1;3704;0;79;0.166666667;6;0.020120724;;0.083333333;0;0;
1.5;0;3;3192;0;48;0;28;0.023198651;;0;0;0;
0;0;1;973;2;28;0;41;0.023198651;;0;0;0;
;;;484;2;2;0;0;0.031356486;;;;0;
;0;0;3803;1;16;;0;0.031356486;;;0;0;
1;3;1;3363;2;60;0.066666667;0;0.023198651;1;0;0;1;
0.105263158;1;1;4653;0;148;0;62;0.020120724;1;0;0;0;
0;0;1;265;0;8;0;7;0.023198651;;0;0;0;
;4;1;2620;1;8;;0;0.026860354;1;;0;4;
;0;0;1338;0;12;0;0;0.026860354;;;0;0;
1.1875;0;0;5245;0;43;0.714285714;53;0.023198651;;0.714285714;0;1;
;0;0;917;1;9;0.1;0;0.023198651;;0.1;0;0;
;0;0;3433;0;35;;0;0.023198651;;;0;0;
0.189189189;1;1;4533;2;111;0.333333333;0;0.023198651;;0.5;0;1;
;5;1;4752;5;91;0;0;0.023198651;;;0;3;
1.490909091;1;1;2604;1;30;1.909090909;17;0.023198651;;3.25;0;1;
0;1;1;2838;2;34;0;51;0.023198651;2;0;0;3;
0;1;1;1143;1;41;0;1;0.026860354;;0;0;0;
2.666666667;0;1;4864;0;19;0.833333333;12;0.023198651;;0.833333333;0;0;
;;;1535;0;3;;0;0.031356486;;;;0;
0.223300971;0;1;3572;1;86;0.25;24;0.023198651;2;0.083333333;0;1;
0;0;0;1339;0;1;0;0;0.023198651;;0;0;0;
0;0;1;1705;0;32;0;24;0.023198651;;0;0;0;
;1;1;160;0;5;0;19;0.023198651;;0;0;0;
;;;1876;0;7;;0;0.023198651;4;;;0;
;4;1;4885;4;32;0.75;0;0.023198651;;0;0;0;
;5;1;3780;3;56;0.222222222;10;0.023198651;;1;0;1;
;1;1;6130;1;17;0.058823529;0;0.023198651;2;;0;0;
0.5;0;1;5170;0;27;0;48;0.023198651;;0;0;0;
;1;1;5183;1;93;;0;0.023198651;;;0;0;
;2;1;285;3;5;0;0;0.026860354;;0;0;4;
0;0;1;1572;0;51;0;48;0.020120724;;0;0;0;
;1;1;3964;1;33;0;0;0.023198651;;0;0;0;
;1;1;3195;0;23;0.375;0;0.023198651;2;0.375;0;0;
0.025641026;1;1;3718;0;77;0.017857143;31;0.023198651;;0;0;0;
0;1;1;1402;1;40;0;44;0.020120724;;0;0;0;
;0;1;272;1;8;0;2;0.023198651;2;0;0;1;
0.383333333;1;1;4179;5;51;0.771428571;53;0.023198651;;0;0;3;
;3;1;135;0;2;1.25;6;0.023198651;;1.25;0;0;
0.014285714;2;1;3064;0;69;0;52;0.023198651;2;0;0;0;
0.385964912;0;1;5672;2;55;0.052631579;34;0.023198651;2;0.086956522;0;2;
0.5;0;1;501;2;24;0;17;0.023198651;1;0;0;2;
3;2;1;800;1;37;0.409090909;9;0.023198651;3;0.166666667;0;1;
;0;1;788;0;12;0;0;0.023198651;;;0;0;
5;1;1;4499;1;60;0.428571429;40;0.020120724;11;0;0;0;
;1;1;3445;2;81;0.095238095;0;0.023198651;1;0;0;1;
;0;1;909;0;8;0;0;0.023198651;;;0;0;
0.5;1;0;1616;0;36;0.071428571;17;0.023198651;;0;0;0;
;1;2;1177;0;11;0;0;0.023198651;;;0;0;
;0;1;2700;0;91;0;27;0.023198651;1;0;0;0;
4.244444444;0;1;929;10;26;4.333333333;26;0.020120724;2;8.041666667;0;3;
0.466666667;8;1;4469;7;83;0;34;0.020120724;;0;0;0;
0;1;1;1282;0;54;0;30;0.023198651;5;0;0;0;
;0;0;4365;0;19;;0;0.026860354;5;;0;0;
0.588235294;1;1;5115;0;106;0.228070175;63;0.023198651;;0.074074074;0;0;
0.833333333;0;1;4080;2;61;0;48;0.023198651;1;0;0;2;
0.076923077;1;1;405;0;8;0;53;0.023198651;;0;0;0;
;0;0;4850;1;26;;0;0.031356486;;;0;0;
5.117647059;1;1;5473;0;25;0;0;0.023198651;;0;0;0;
;0;0;629;1;29;0;7;0.023198651;;0;0;0;
0.5;1;1;4073;0;99;0;0;0.023198651;8;0;0;0;
0;0;1;2146;0;22;0;112;0.023198651;1;0;0;0;
;3;1;4500;5;49;0;0;0.023198651;;0;0;2;
;2;1;1097;0;10;0;0;0.023198651;1;;0;0;
0;0;1;2273;2;99;0;22;0.023198651;;0;0;1;
;0;1;966;0;18;0;0;0.023198651;;;0;0;
;0;1;285;0;8;0;2;0.023198651;7;0;0;0;
1;1;0;5179;0;41;0.25;8;0.020120724;;0.333333333;0;0;
0.75;1;0;5183;3;228;0.058823529;0;0.023198651;4;0;0;3;
;0;1;825;3;27;0.071428571;0;0.026860354;;0;0;0;
1.044642857;1;1;3162;4;24;2.222222222;0;0.023198651;;5.333333333;0;1;
0;0;1;424;0;13;0;47;0.023198651;;0;0;0;
0;2;1;3135;0;17;0;0;0.023198651;;0;0;0;
;1;0;3108;0;14;;0;0.031356486;;;0;0;
13.23076923;0;0;3627;2;13;0.625;6;0.026860354;;0.625;2;3;
3.166666667;0;2;3130;0;19;0.92;0;0.023198651;1;1.615384615;0;0;
;3;1;5031;0;67;0;0;0.026860354;;0;0;0;
;0;1;471;0;7;0;0;0.023198651;;0;0;0;
0;0;1;241;1;7;0;41;0.023198651;;0;0;0;
;0;0;5421;0;10;;0;0.023198651;;;0;0;
;0;2;1964;0;10;;0;0.023198651;;;0;0;
;1;1;1660;1;34;0;0;0.023198651;;0;0;1;
;1;0;1448;0;4;0;0;0.023198651;;;0;0;
1;1;0;4563;0;179;0;34;0.020120724;1;0;0;0;
1;1;1;644;0;26;0.074074074;48;0.023198651;;0.105263158;0;0;
;0;1;1148;0;10;0;0;0.023198651;;;0;0;
2.8;2;1;3794;1;64;0.333333333;0;0.023198651;;0.166666667;0;1;
;0;0;5385;1;5;;0;0.031356486;;;1;0;
0;0;1;768;0;9;0;7;0.031356486;;0;0;0;
0;0;1;2085;0;40;0;2;0.020120724;3;0;0;0;
;0;0;2185;0;10;;0;0.023198651;;;0;0;
10.51219512;0;1;5069;1;20;1.133333333;57;0.023198651;;0;0;1;
0.5;0;2;3492;0;20;0;11;0.023198651;2;0;0;0;
0;0;3;2669;1;39;0;45;0.023198651;;0;0;1;
0.5;2;1;5137;6;102;0.073529412;36;0.023198651;1;0.066666667;0;3;
