AVGDPD0_EVER;CNTGOODPOS;CNTUNIQUEPHONES;FIRSTADATENOTRD;CNTUNSUCCESSFULWEEKS24M;INSTALMENTCNTPAIDINTIME;AVGDPD0_36M;NUMINSTTOPAYGR;TEXTLASTRISKPRODCOMBINATION;PARTEPCOUNT;AVGDPD0_12M;CODEPAIDOFFAFTERDPD;NUMREJECTS9M;LASTFULLEPDATE
0.947826087;0;0;2256;12;39;1.396226415;83;0.023198651;2;0;0;3;
;1;1;357;0;15;0;1;0.023198651;1;0;0;0;
;3;1;4304;0;35;0.115384615;0;0.023198651;;0;0;0;
;3;1;3323;4;114;1.492307692;2;0.023198651;;0.666666667;0;2;
;0;0;2866;0;4;;0;0.023198651;;;0;0;
0;0;1;3505;1;59;0;28;0.020120724;1;0;0;1;
;3;1;2778;0;28;;0;0.020120724;;;0;0;
;0;0;3380;0;6;;0;0.031356486;;;0;0;
0;0;1;;2;0;0;0;0.023198651;;0;0;0;
0.233333333;0;1;4297;0;144;0.0625;48;0.023198651;1;0;0;0;
0.260869565;0;1;1621;3;40;0.333333333;24;0.020120724;;0.333333333;0;3;
;1;1;4222;0;144;0.063829787;0;0.020120724;;0;0;0;
;3;0;5114;3;61;0.666666667;0;0.020120724;1;0;0;5;
4.666666667;2;1;2169;0;26;0.611111111;0;0.031356486;;0;0;0;
;2;1;4192;2;27;2.380952381;22;0.023198651;2;0;1;2;
1.65;0;1;4387;0;9;0;0;0.023198651;;0;0;1;
0;1;1;2579;1;48;0;21;0.020120724;4;0;0;0;
0;1;1;4506;0;19;0;13;0.023198651;11;0;0;0;
0.095238095;1;1;2040;0;62;0.105263158;39;0.023198651;;0;0;0;
1.866666667;3;1;5455;2;161;0;0;0.020120724;;0;0;2;
;1;0;1931;7;82;0.048387097;21;0.023198651;1;0;0;3;
;0;1;774;5;22;0;0;0.023198651;8;0;0;0;
0.5;2;1;4258;1;115;0;39;0.020120724;;0;0;0;
;0;2;3764;0;113;0;0;0.023198651;4;;0;0;
;0;1;654;0;5;0;0;0.023198651;;;0;0;
0;0;1;3031;1;41;0;37;0.020120724;;0;0;2;
;0;1;341;0;7;0;0;0.023198651;5;0;0;0;
0.034482759;0;1;935;1;29;0;2;0.023198651;;0;0;0;
0.5;2;1;5559;0;42;0;8;0.020120724;;0;0;0;
;1;1;1500;0;22;0;0;0.020120724;;;0;0;
2.75;1;1;3729;0;35;0;50;0.023198651;1;0;0;0;
0.472222222;2;1;4410;3;48;1.238095238;44;0.023198651;;1.470588235;0;3;
;;;5543;0;36;0;0;0.026860354;;0;;0;
0;1;1;3581;3;60;0;45;0.020120724;1;0;0;1;
;1;1;4650;2;80;0;0;0.023198651;41;0;0;0;
;1;1;802;1;12;0.076923077;0;0.023198651;;0;0;1;
